date,place,opponent_1,opponent_2,opponent_1_estimated_punch_power,opponent_2_estimated_punch_power,opponent_1_estimated_punch_resistance,opponent_2_estimated_punch_resistance,opponent_1_estimated_ability_to_take_punch,opponent_2_estimated_ability_to_take_punch,opponent_1_rounds_boxed,opponent_2_rounds_boxed,opponent_1_round_ko_percentage,opponent_2_round_ko_percentage,opponent_1_has_been_ko_percentage,opponent_2_has_been_ko_percentage,opponent_1_avg_weight,opponent_2_avg_weight,verdict,opponent_1_name_clean,opponent_2_name_clean,opponent_1_name,opponent_1_wins,opponent_1_looses,opponent_1_draws,opponent_1_ko_rate,opponent_1_age,opponent_1_height,opponent_1_reach,opponent_2_name,opponent_2_wins,opponent_2_looses,opponent_2_draws,opponent_2_ko_rate,opponent_2_age,opponent_2_height,opponent_2_reach,opponent_1_verdict,opponent_2_verdict,opponent_1_height_cm,opponent_2_height_cm,opponent_1_reach_cm,opponent_2_reach_cm,opponent_1_stance_Southpaw,opponent_1_stance_Unknown,opponent_2_stance_Southpaw,opponent_2_stance_Unknown,opponent_1_country_Cuba,opponent_1_country_Dominican Republic,opponent_1_country_France,opponent_1_country_Germany,opponent_1_country_Ghana,opponent_1_country_Kazakhstan,opponent_1_country_Mexico,opponent_1_country_New Zealand,opponent_1_country_Philippines,opponent_1_country_Russian Federation,opponent_1_country_Ukraine,opponent_1_country_United Kingdom,opponent_1_country_United States,opponent_1_country_Unknown,"opponent_1_country_Venezuela, Bolivarian Republic of",opponent_2_country_Canada,opponent_2_country_Colombia,opponent_2_country_Germany,opponent_2_country_Ireland,opponent_2_country_Japan,opponent_2_country_Kazakhstan,opponent_2_country_Mexico,opponent_2_country_New Zealand,opponent_2_country_Russian Federation,opponent_2_country_Sweden,opponent_2_country_Ukraine,opponent_2_country_United Kingdom,opponent_2_country_United States,opponent_2_country_Unknown
26 October 2019,Unknown,Regis Prograis ,Josh Taylor,0.8764044943820224,0.8764044943820224,0.6564625850340136,0.6791510611735331,0.8967082860385927,0.8426966292134831,0.21212121212121213,0.2020460358056266,20.41,16.46,0.0,0.0,0.3297833017603844,0.14708994708994708,Taylor won via MD in round 12,regis prograis,josh taylor,regis prograis,24.0,1.0,0.0,0.7609618104667613,0.16666666666666674,5.68 ft (1.73 m),Unknown,Josh Taylor,17.0,0.0,0.0,0.8208154506437768,0.1403508771929824,5.84 ft (1.78 m),69.69 inches (177 cm),LOSS,WON,0.19512195121951237,0.34883720930232576,,0.1470588235294119,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
19 October 2019,Unknown,Ted Cheesman ,Scott Fitzgerald,0.7415730337078652,0.7415730337078652,0.5770975056689343,0.5355805243445693,0.7264472190692396,0.6741573033707865,0.22294372294372294,0.15089514066496165,8.74,15.25,0.0,0.0,0.15778773737467078,0.23204837490551777,Fitzgerald won via UD in round 12,ted cheesman,scott fitzgerald,ted cheesman,16.0,2.0,1.0,0.3437057991513437,,Unknown,Unknown,Scott Fitzgerald,14.0,0.0,0.0,0.6899141630901288,0.12280701754385964,Unknown,Unknown,LOSS,WON,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
26 October 2019,Unknown,Dereck Chisora ,David Price,0.7303370786516854,0.7303370786516854,0.7244897959183674,0.818976279650437,0.8853575482406357,0.7865168539325842,0.5454545454545454,0.26854219948849106,8.73,18.1,0.12,0.5224747474747475,0.5506399297694404,0.373015873015873,Chisora won via TKO in round 4,dereck chisora,david price,dereck chisora,32.0,10.0,0.0,0.4483734087694484,0.27083333333333337,6.14 ft (1.87 m),74.02 inches (188 cm),david price,23.0,7.0,0.0,0.6791845493562232,0.28070175438596484,6.66 ft (2.03 m),81.89 inches (208 cm),WON,LOSS,0.536585365853659,0.9302325581395343,0.2279411764705883,0.375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
9 November 2019,Unknown,Olajide William Olatunji ,Logan Paul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Olatunji won via SD in round 6,olajide william olatunji,logan paul,,33.0,2.0,2.0,0.3097595473833098,0.1875,5.9 ft (1.75 m),115.5 inches (293 cm),,32.0,2.0,2.0,0.7188841201716738,0.24561403508771934,5.9 ft (1.75 m),115.5 inches (293 cm),WON,LOSS,0.24390243902439046,0.2790697674418605,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
22 November 2019,Unknown,Kieran Gething ,Jeff Ofori,0.5730337078651685,0.5730337078651685,0.5861678004535148,0.8451935081148565,0.601589103291714,0.8314606741573034,0.16017316017316016,0.4603580562659847,2.7,74.3,0.0,0.0,0.0,0.0,Draw - 10 round SD decision,kieran gething,jeff ofori,,33.0,0.0,1.0,0.18246110325318243,0.04166666666666674,5.9 ft (1.75 m),115.5 inches (293 cm),,38.0,2.0,1.0,0.5150214592274678,0.05263157894736842,5.9 ft (1.75 m),115.5 inches (293 cm),DRAW,DRAW,0.24390243902439046,0.2790697674418605,1.0,1.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2 November 2019,Unknown,Sergey Kovalev ,Saul Alvarez,0.8764044943820224,0.8764044943820224,0.6950113378684807,0.7578027465667916,0.8853575482406357,0.9550561797752809,0.37445887445887444,1.0,16.76,8.95,0.08416,0.48989898989898983,0.404264658319087,0.23170068027210886,Alvarez won via KO in round 11,sergey kovalev,saul alvarez,sergey kovalev,34.0,4.0,1.0,0.6987270155586989,0.29166666666666674,6.00 ft (1.83 m),72.44 inches (184 cm),Saul Alvarez,54.0,1.0,2.0,0.6781115879828327,0.15789473684210525,5.74 ft (1.75 m),70.47 inches (179 cm),LOSS,WON,0.43902439024390283,0.2790697674418605,0.19852941176470607,0.16176470588235303,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
22 November 1986,Unknown,Mike Tyson ,Trevor Berbick,0.9213483146067416,0.9213483146067416,0.6439909297052154,0.7540574282147317,0.9080590238365495,0.9213483146067416,0.16017316017316016,0.6470588235294118,33.78,72.4,0.48,0.0702020202020202,0.8214434228156909,0.3224338624338624,Tyson won via TKO in round 2,mike tyson,trevor berbick,mike tyson,50.0,6.0,0.0,0.7284299858557284,0.6458333333333333,5.84 ft (1.78 m),70.87 inches (180 cm),trevor berbick,49.0,11.0,1.0,0.5804721030042919,0.7894736842105263,6.17 ft (1.88 m),77.95 inches (198 cm),WON,LOSS,0.3170731707317076,0.581395348837209,0.1691176470588236,0.30147058823529416,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
30 October 1974,Unknown,George Foreman ,Muhammad Ali,0.9325842696629213,0.9325842696629213,0.6984126984126984,0.8813982521847691,0.9194097616345064,0.9775280898876404,0.2597402597402597,0.9335038363171356,30.83,71.0,0.0,0.0,0.4930462505197985,0.30480725623582766,Ali won via KO in round 8,george foreman,muhammad ali,george foreman,76.0,5.0,0.0,0.8613861386138615,1.0,6.30 ft (1.92 m),78.35 inches (199 cm),muhammad ali,56.0,5.0,0.0,0.6512875536480687,1.0,6.27 ft (1.91 m),77.95 inches (198 cm),LOSS,WON,0.6585365853658542,0.6511627906976742,0.3088235294117647,0.30147058823529416,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
26 July 1986,Unknown,Mike Tyson ,Marvis Frazier,0.9213483146067416,0.9213483146067416,0.6179138321995464,0.7253433208489389,0.8967082860385927,0.8539325842696629,0.13203463203463203,0.2710997442455243,36.07,66.9,0.1712,0.14848484848484847,0.7918957630642701,0.6127588813303099,Tyson won via TKO in round 1,mike tyson,marvis frazier,mike tyson,50.0,6.0,0.0,0.7284299858557284,0.6458333333333333,5.84 ft (1.78 m),70.87 inches (180 cm),,39.0,1.0,0.0,0.7081545064377682,0.15789473684210525,5.9 ft (1.75 m),115.5 inches (293 cm),WON,LOSS,0.3170731707317076,0.2790697674418605,0.1691176470588236,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6 April 1987,Unknown,Sugar Ray Leonard ,Marvin Hagler,0.8202247191011236,0.8202247191011236,0.7585034013605443,0.774032459425718,0.9307604994324632,1.0,0.5281385281385281,0.9872122762148339,9.84,13.47,0.0,0.0,0.35002079194196734,0.26810279667422526,Leonard won via SD in round 12,sugar ray leonard,marvin hagler,sugar ray leonard,36.0,3.0,1.0,0.5572842998585574,0.8541666666666667,5.84 ft (1.78 m),74.02 inches (188 cm),marvin hagler,62.0,3.0,2.0,0.8326180257510729,0.7894736842105263,5.81 ft (1.77 m),75.20 inches (191 cm),WON,LOSS,0.3170731707317076,0.32558139534883734,0.2279411764705883,0.25,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
