date,place,opponent_1,opponent_2,opponent_1_estimated_punch_power,opponent_2_estimated_punch_power,opponent_1_estimated_punch_resistance,opponent_2_estimated_punch_resistance,opponent_1_estimated_ability_to_take_punch,opponent_2_estimated_ability_to_take_punch,opponent_1_rounds_boxed,opponent_2_rounds_boxed,opponent_1_round_ko_percentage,opponent_2_round_ko_percentage,opponent_1_has_been_ko_percentage,opponent_2_has_been_ko_percentage,opponent_1_avg_weight,opponent_2_avg_weight,verdict,opponent_1_name_clean,opponent_2_name_clean,opponent_1_name,opponent_1_wins,opponent_1_looses,opponent_1_draws,opponent_1_ko_rate,opponent_1_stance,opponent_1_age,opponent_1_height,opponent_1_reach,opponent_1_country,opponent_2_name,opponent_2_wins,opponent_2_looses,opponent_2_draws,opponent_2_ko_rate,opponent_2_stance,opponent_2_age,opponent_2_height,opponent_2_reach,opponent_2_country,opponent_1_verdict,opponent_2_verdict
23 November 2019,Unknown,Luis Ortiz ,Deontay Wilder,74,74,65.4,63.5,83.0,82.0,154,136.0,16.88,29.41,2.86,35.6,237.75,243.43,Wilder won via KO in round 7,luis ortiz,deontay wilder,luis ortiz,31.0,2.0,0.0,72.2%,Orthodox,43,6.33 ft (1.93 m),83.86 inches (213 cm),Cuba,deontay wilder,42.0,1.0,1.0,93.2%,Orthodox,36.0,6.56 ft (2.00 m),83.07 inches (211 cm),United States,LOSS,WON
30 November 2019,Unknown,Carl Frampton ,Tyler Mccreary,69,69,61.6,37.6,77.0,66.0,195,77.0,7.69,9.09,0.0,0.0,121.85,132.1,Frampton won via UD in round 10,carl frampton,tyler mccreary,carl frampton,27.0,2.0,0.0,50%,Orthodox,35,5.41 ft (1.65 m),61.81 inches (157 cm),United Kingdom,,39.0,1.0,1.0,73%,Southpaw,29.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,WON,LOSS
23 November 2019,Unknown,Callum Smith ,John Ryder,77,77,63.6,56.9,74.0,75.0,122,190.0,15.57,8.42,35.1,3.13,168.72,162.74,Smith won via UD in round 12,callum smith,john ryder,callum smith,27.0,1.0,0.0,67.9%,Orthodox,32,6.27 ft (1.91 m),Unknown,United Kingdom,john ryder,28.0,5.0,0.0,48.5%,Orthodox,34.0,5.74 ft (1.75 m),Unknown,United Kingdom,WON,LOSS
7 December 2019,Unknown,Matt Korobov ,Chris Eubank Jr,63,63,60.5,61.5,78.0,76.0,176,184.0,7.95,11.41,3.23,25.7,161.15,161.7,Eubank Jr won via TKO in round 2,matt korobov,chris eubank jr,matt korobov,28.0,3.0,1.0,43.8%,Southpaw,39,5.91 ft (1.80 m),70.47 inches (179 cm),Russian Federation,chris eubank jr,29.0,2.0,0.0,71%,Orthodox,32.0,5.91 ft (1.80 m),72.44 inches (184 cm),United Kingdom,LOSS,WON
7 December 2019,Unknown,Jermall Charlo ,Dennis Hogan,74,74,60.3,56.2,74.0,76.0,140,226.0,15.0,80.7,0.0,0.0,152.84,158.69,Charlo won via TKO in round 7,jermall charlo,dennis hogan,jermall charlo,30.0,0.0,0.0,73.3%,Orthodox,32,6.00 ft (1.83 m),73.62 inches (187 cm),United States,dennis hogan,28.0,3.0,1.0,21.9%,Orthodox,37.0,5.68 ft (1.73 m),71.65 inches (182 cm),Australia,WON,LOSS
7 December 2019,Unknown,Andy Ruiz Jr ,Anthony Joshua,72,72,57.4,70.5,83.0,81.0,151,91.0,14.57,23.08,26.3,4.35,248.34,237.26,Joshua won via UD in round 12,andy ruiz jr,anthony joshua,andy ruiz jr,33.0,2.0,0.0,62.9%,Orthodox,32,6.17 ft (1.88 m),74.02 inches (188 cm),Mexico,anthony joshua,24.0,1.0,0.0,88%,Orthodox,32.0,6.50 ft (1.98 m),82.01 inches (208.3 cm),United Kingdom,LOSS,WON
21 December 2019,Unknown,Kyotaro Fujimoto ,Daniel Dubois,67,67,52.1,44.4,67.0,69.0,135,40.0,56.1,32.5,4.76,5.3,232.59,230.38,Dubois won via KO in round 2,kyotaro fujimoto,daniel dubois,,10.0,4.0,0.0,79%,Southpaw,27,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,daniel dubois,15.0,1.0,0.0,87.5%,Orthodox,25.0,6.36 ft (1.94 m),Unknown,United Kingdom,LOSS,WON
12 December 2019,Unknown,Joe Hughes ,Sandor Martin,57,57,51.4,55.8,63.0,71.0,170,222.0,4.12,5.86,0.0,0.0,141.86,139.6,Martin won via UD in round 12,joe hughes,sandor martin,,21.0,3.0,0.0,37%,Orthodox,25,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,,24.0,2.0,0.0,74%,Orthodox,35.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,LOSS,WON
14 February 2020,Unknown,Francisco Fonseca ,Ryan Garcia,64,64,43.5,42.9,57.0,76.0,48,59.0,10.42,27.12,10.0,31.8,131.05,91.6,Garcia won via KO in round 1,francisco fonseca,ryan garcia,,31.0,1.0,2.0,45%,Southpaw,35,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,Ryan Garcia,20.0,0.0,0.0,81%,Orthodox,24.0,Unknown,Unknown,Unknown,LOSS,WON
29 February 2020,Unknown,Jessie Vargas ,Mikey Garcia,61,61,67.4,63.8,78.0,81.0,241,226.0,4.56,13.27,0.0,0.0,143.19,128.21,Garcia won via UD in round 12,jessie vargas,mikey garcia,jessie vargas,29.0,3.0,2.0,32.4%,Orthodox,33,5.84 ft (1.78 m),70.87 inches (180 cm),United States,mikey garcia,40.0,1.0,0.0,73.2%,Orthodox,34.0,5.51 ft (1.68 m),68.11 inches (173 cm),United States,LOSS,WON
7 March 2020,Unknown,Theophilus Tetteh ,Anthony Fowler,56,56,41.7,45.7,67.0,60.0,147,65.0,6.12,13.85,8.0,34.4,154.88,155.9,Fowler won via TKO in round 1,theophilus tetteh,anthony fowler,,20.0,0.0,0.0,77%,Orthodox,37,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,anthony fowler,14.0,1.0,0.0,73.3%,Orthodox,31.0,5.91 ft (1.80 m),Unknown,United Kingdom,LOSS,WON
22 February 2020,Unknown,Deontay Wilder ,Tyson Fury,88,88,63.9,66.9,83.0,86.0,143,186.0,28.67,10.75,0.0,0.0,242.4,247.5,Fury won via TKO in round 7,deontay wilder,tyson fury,deontay wilder,42.0,1.0,1.0,93.2%,Orthodox,36,6.56 ft (2.00 m),83.07 inches (211 cm),United States,tyson fury,30.0,0.0,1.0,65.6%,Orthodox,34.0,6.76 ft (2.06 m),85.04 inches (216 cm),United Kingdom,LOSS,WON
7 March 2020,Unknown,Scott Quigg ,Jono Carroll,75,75,63.4,52.2,76.0,63.0,200,122.0,13.0,57.8,0.0,0.0,124.8,133.43,Carroll won via TKO in round 11,scott quigg,jono carroll,scott quigg,35.0,3.0,2.0,65%,Orthodox,33,5.68 ft (1.73 m),Unknown,United Kingdom,jono carroll,18.0,1.0,1.0,19%,Orthodox,30.0,5.58 ft (1.70 m),Unknown,Ireland,LOSS,WON
29 August 2020,Unknown,Joe Hughes ,Sam Maxwell,57,57,52.3,74.8,65.0,68.6,182,101.0,3.85,76.9,0.0,0.0,141.86,100.0,Maxwell won via UD in round 10,joe hughes,sam maxwell,,29.0,4.0,2.0,74%,Southpaw,38,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,,29.0,0.0,0.0,47%,Orthodox,37.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,LOSS,WON
17 October 2020,Unknown,Vasyl Lomachenko ,Teofimo Lopez,71,71,73.9,58.1,78.0,76.0,131,58.0,7.63,18.97,0.0,0.0,127.11,139.6,Lopez won via UD in round 12,vasyl lomachenko,teofimo lopez,vasyl lomachenko,14.0,2.0,0.0,62.5%,Southpaw,34,5.51 ft (1.68 m),65.35 inches (166 cm),Ukraine,Teofimo Lopez,15.0,0.0,0.0,68.8%,Unknown,25.0,5.68 ft (1.73 m),68.50 inches (174 cm),Unknown,LOSS,WON
